iter	Passed	Remaining
652	109912	115130
653	110076	114957
654	110240	114784
655	110417	114625
656	110584	114455
657	110750	114285
658	110916	114114
659	111083	113944
660	111251	113776
661	111420	113608
662	111601	113453
663	111767	113281
664	111930	113109
665	112094	112936
666	112260	112765
667	112423	112591
668	112588	112420
669	112772	112267
670	112939	112097
671	113104	111926
672	113271	111756
673	113437	111585
674	113558	111371
675	113722	111199
676	113891	111031
677	114066	110869
678	114236	110703
679	114401	110531
680	114567	110361
681	114731	110189
682	114896	110017
683	115063	109848
684	115248	109696
685	115428	109539
686	115603	109377
687	115783	109220
688	115959	109059
689	116141	108903
690	116323	108748
691	116513	108599
692	116685	108434
693	116864	108276
694	117037	108112
695	117205	107943
696	117372	107773
697	117542	107607
698	117718	107445
699	117882	107273
700	118052	107106
701	118222	106939
702	118388	106768
703	118552	106596
704	118718	106425
705	118898	106267
706	119064	106097
707	119230	105926
708	119399	105758
709	119565	105588
710	119732	105418
711	119898	105247
712	120078	105089
713	120245	104920
714	120415	104753
715	120580	104581
716	120744	104409
717	120910	104239
718	121080	104072
719	121265	103917
720	121435	103751
721	121601	103580
722	121769	103411
723	121933	103238
724	122098	103068
725	122265	102898
726	122442	102737
727	122615	102572
728	122782	102403
729	122946	102231
730	123114	102062
731	123281	101892
732	123448	101723
733	123614	101552
734	123794	101393
735	123961	101223
736	124125	101051
737	124289	100879
738	124456	100710
739	124624	100541
740	124788	100369
741	124970	100212
742	125137	100042
743	125303	99872
744	125473	99704
745	125640	99535
746	125807	99365
747	125973	99195
748	126155	99037
749	126322	98868
750	126566	98758
751	126734	98589
752	126897	98417
753	127064	98247
754	127231	98078
755	127409	97916
756	127574	97745
757	127740	97574
758	127908	97405
759	128073	97234
760	128238	97063
761	128419	96904
762	128605	96749
763	128777	96583
764	128941	96411
765	129106	96239
766	129270	96067
767	129434	95896
768	129617	95738
769	129831	95603
770	130030	95456
771	130200	95289
772	130370	95121
773	130536	94951
774	130703	94780
775	130871	94611
776	131048	94449
777	131218	94281
778	131385	94112
779	131552	93942
780	131718	93771
781	131883	93599
782	132047	93428
783	132222	93263
784	132397	93099
785	132566	92931
786	132728	92758
787	132894	92587
788	133061	92418
789	133227	92247
790	133392	92076
791	133573	91916
792	133736	91743
793	133901	91572
794	134065	91400
795	134228	91227
796	134397	91059
797	134561	90888
798	134736	90723
799	134906	90556
800	135072	90385
801	135237	90214
802	135405	90045
803	135572	89875
804	135737	89705
805	135911	89539
806	136085	89374
807	136252	89204
808	136419	89035
809	136586	88865
810	136750	88693
811	136915	88522
812	137078	88350
813	137259	88190
814	137421	88017
815	137588	87847
816	137755	87677
817	137918	87505
818	138086	87336
819	138250	87165
820	138429	87003
821	138605	86839
822	138771	86668
823	138936	86498
824	139103	86328
825	139269	86158
826	139434	85987
827	139610	85823
828	139784	85658
829	139950	85488
830	140116	85317
831	140283	85147
832	140448	84977
833	140613	84806
834	140785	84639
835	140965	84478
836	141134	84309
837	141301	84139
838	141467	83969
839	141632	83799
840	141797	83628
841	141967	83460
842	142151	83301
843	142334	83141
844	142508	82975
845	142677	82806
846	142844	82637
847	143010	82467
848	143175	82296
849	143355	82134
850	143524	81965
851	143694	81798
852	143860	81627
853	144027	81457
854	144193	81287
855	144361	81119
856	144537	80954
857	144711	80788
858	144879	80619
859	145048	80451
860	145212	80280
861	145381	80111
862	145548	79941
863	145720	79775
864	145895	79609
865	146059	79438
866	146224	79268
867	146390	79098
868	146558	78929
869	146727	78760
870	146892	78589
871	147074	78428
872	147239	78257
873	147408	78089
874	147573	77918
875	147741	77749
876	147906	77578
877	148069	77407
878	148249	77244
879	148420	77077
880	148584	76906
881	148750	76736
882	148914	76565
883	149078	76394
884	149242	76223
885	149413	76055
886	149588	75890
887	149753	75719
888	149924	75552
889	150086	75380
890	150251	75210
891	150416	75039
892	150583	74870
893	150763	74707
894	150930	74537
895	151095	74367
896	151257	74195
897	151422	74025
898	151588	73854
899	151751	73683
900	151932	73521
901	152098	73351
902	152266	73182
903	152431	73012
904	152597	72842
905	152764	72672
906	152931	72503
907	153104	72336
908	153281	72172
909	153446	72001
910	153611	71831
911	153777	71661
912	153946	71492
913	154115	71324
914	154281	71155
915	154462	70991
916	154630	70823
917	154795	70652
918	154966	70485
919	155131	70315
920	155297	70145
921	155463	69975
922	155640	69810
923	155807	69641
924	155977	69473
925	156142	69303
926	156310	69134
927	156475	68964
928	156645	68795
929	156824	68631
930	156994	68463
931	157159	68293
932	157391	68152
933	157562	67984
934	157727	67814
935	157895	67645
936	158077	67482
937	158244	67312
938	158408	67142
939	158573	66971
940	158740	66802
941	158905	66632
942	159027	66444
943	159204	66278
944	159375	66111
945	159542	65942
946	159707	65771
947	159873	65602
948	160039	65432
949	160203	65261
950	160376	65095
951	160551	64928
952	160717	64759
953	160881	64588
954	161049	64419
955	161213	64249
956	161378	64079
957	161544	63909
958	161724	63745
959	161890	63575
960	162057	63406
961	162222	63236
962	162387	63066
963	162552	62896
964	162716	62726
965	162895	62561
966	163064	62392
967	163228	62222
968	163393	62052
969	163558	61882
970	163722	61712
971	163885	61541
972	164059	61374
973	164234	61208
974	164397	61037
975	164567	60869
976	164731	60699
977	164895	60529
978	165063	60360
979	165235	60192
980	165411	60026
981	165580	59858
982	165745	59688
983	165907	59517
984	166074	59348
985	166238	59178
986	166406	59009
987	166585	58844
988	166751	58675
989	166916	58505
990	167083	58335
991	167250	58166
992	167413	57996
993	167579	57826
994	167760	57662
995	167929	57493
996	168095	57324
997	168261	57155
998	168426	56985
999	168589	56814
1000	168754	56644
1001	168925	56477
1002	169098	56310
1003	169264	56140
1004	169430	55970
1005	169592	55800
1006	169765	55633
1007	169929	55463
1008	170094	55293
1009	170274	55128
1010	170439	54958
1011	170606	54789
1012	170770	54619
1013	170936	54450
1014	171103	54281
1015	171270	54111
1016	171448	53946
1017	171616	53777
1018	171782	53608
1019	171948	53438
1020	172116	53270
1021	172277	53099
1022	172440	52928
1023	172616	52762
1024	172787	52594
1025	172954	52425
1026	173119	52256
1027	173284	52086
1028	173451	51917
1029	173616	51747
1030	173790	51580
1031	173961	51413
1032	174128	51244
1033	174294	51074
1034	174460	50905
1035	174625	50735
1036	174792	50566
1037	174962	50398
1038	175143	50233
1039	175308	50064
1040	175474	49894
1041	175642	49725
1042	175806	49556
1043	175970	49386
1044	176139	49217
1045	176322	49053
1046	176487	48883
1047	176653	48714
1048	176819	48545
1049	176985	48376
1050	177153	48207
1051	177318	48037
1052	177500	47872
1053	177667	47703
1054	177834	47534
1055	177999	47365
1056	178168	47196
1057	178333	47027
1058	178498	46858
1059	178680	46692
1060	178849	46524
1061	179016	46355
1062	179181	46185
1063	179344	46016
1064	179508	45846
1065	179675	45677
1066	179848	45510
1067	180020	45342
1068	180189	45173
1069	180351	45003
1070	180516	44834
1071	180681	44664
1072	180846	44495
1073	181009	44325
1074	181193	44160
1075	181360	43991
1076	181526	43822
1077	181691	43653
1078	181858	43484
1079	182024	43315
1080	182190	43145
1081	182366	42979
1082	182540	42811
1083	182707	42642
1084	182873	42473
1085	183037	42304
1086	183204	42135
1087	183369	41965
1088	183544	41798
1089	183719	41631
1090	183882	41462
1091	184046	41292
1092	184212	41123
1093	184377	40954
1094	184542	40784
1095	184713	40616
1096	184890	40450
1097	185055	40280
1098	185223	40112
1099	185390	39943
1100	185553	39773
1101	185718	39604
1102	185886	39435
1103	186065	39269
1104	186231	39100
1105	186401	38931
1106	186569	38763
1107	186736	38594
1108	186903	38425
1109	187068	38256
1110	187248	38090
1111	187417	37921
1112	187586	37753
1113	187752	37584
1114	187918	37415
1115	188085	37246
1116	188252	37077
1117	188427	36910
1118	188599	36742
1119	188766	36573
1120	188958	36409
1121	189126	36240
1122	189294	36072
1123	189460	35903
1124	189636	35735
1125	189807	35567
1126	189973	35398
1127	190137	35229
1128	190375	35073
1129	190543	34904
1130	190709	34735
1131	190865	34564
1132	191039	34397
1133	191204	34227
1134	191373	34059
1135	191529	33888
1136	191695	33719
1137	191872	33552
1138	192050	33385
1139	192226	33218
1140	192396	33049
1141	192560	32880
1142	192725	32711
1143	192880	32540
1144	193048	32371
1145	193218	32203
1146	193398	32036
1147	193563	31867
1148	193727	31697
1149	193895	31529
1150	194061	31360
1151	194224	31190
1152	194393	31022
1153	194574	30855
1154	194740	30686
1155	194906	30517
1156	195063	30346
1157	195228	30177
1158	195394	30008
1159	195560	29839
1160	195737	29672
1161	195908	29504
1162	196074	29335
1163	196238	29166
1164	196403	28996
1165	196567	28827
1166	196734	28658
1167	196908	28490
1168	197084	28323
1169	197250	28154
1170	197416	27985
1171	197580	27816
1172	197732	27645
1173	197896	27476
1174	198061	27307
1175	198243	27140
1176	198413	26972
1177	198576	26802
1178	198743	26633
1179	198909	26465
1180	199075	26296
1181	199241	26127
1182	199424	25960
1183	199593	25792
1184	199756	25622
1185	199924	25454
1186	200089	25285
1187	200253	25116
1188	200420	24947
1189	200604	24780
1190	200773	24612
1191	200938	24443
1192	201104	24274
1193	201268	24105
1194	201434	23936
1195	201602	23767
1196	201779	23599
1197	201953	23431
1198	202120	23263
1199	202287	23094
1200	202451	22925
1201	202617	22756
1202	202784	22587
1203	202955	22419
1204	203135	22252
1205	203301	22083
1206	203468	21914
1207	203632	21745
1208	203797	21576
1209	203962	21407
1210	204131	21239
1211	204310	21071
1212	204477	20902
1213	204644	20734
1214	204809	20565
1215	204973	20396
1216	205143	20227
1217	205309	20058
1218	205488	19891
1219	205658	19723
1220	205794	19551
1221	205959	19382
1222	206122	19213
1223	206287	19044
1224	206453	18875
1225	206632	18708
1226	206806	18540
1227	206972	18371
1228	207137	18202
1229	207303	18033
1230	207469	17864
1231	207636	17696
1232	207809	17528
1233	207985	17360
1234	208151	17191
1235	208317	17022
1236	208482	16853
1237	208650	16685
1238	208818	16516
1239	208986	16348
1240	209165	16180
1241	209333	16011
1242	209498	15843
1243	209667	15674
1244	209832	15505
1245	209999	15337
1246	210164	15168
1247	210350	15000
1248	210515	14832
1249	210681	14663
1250	210847	14494
1251	211014	14326
1252	211183	14157
1253	211349	13988
1254	211524	13820
1255	211696	13652
1256	211863	13483
1257	212028	13315
1258	212194	13146
1259	212360	12977
1260	212526	12808
1261	212693	12640
1262	212870	12472
1263	213035	12303
1264	213200	12134
1265	213365	11965
1266	213515	11796
1267	213682	11627
1268	213828	11458
1269	214005	11290
1270	214173	11121
1271	214339	10952
1272	214505	10784
1273	214673	10615
1274	214834	10446
1275	214999	10278
1276	215178	10110
1277	215349	9941
1278	215513	9773
1279	215678	9604
1280	215843	9435
1281	216006	9267
1282	216169	9098
1283	216344	8930
1284	216519	8761
1285	216686	8593
1286	216851	8424
1287	217017	8256
1288	217181	8087
1289	217345	7918
1290	217515	7750
1291	217693	7582
1292	217861	7413
1293	218025	7245
1294	218189	7076
1295	218356	6907
1296	218522	6739
1297	218690	6570
1298	218869	6402
1299	219039	6234
1300	219202	6065
1301	219368	5896
1302	219532	5728
1303	219700	5559
1304	219866	5391
1305	220032	5222
1306	220209	5054
1307	220358	4885
1308	220522	4717
1309	220687	4548
1310	220850	4379
1311	221017	4211
1312	221184	4042
1313	221367	3874
1314	221533	3706
1315	221699	3537
1316	221862	3369
1317	222013	3200
1318	222178	3032
1319	222346	2863
1320	222524	2695
1321	222773	2527
1322	222938	2359
1323	223107	2190
1324	223275	2022
1325	223440	1853
1326	223608	1685
1327	223790	1516
1328	223959	1348
1329	224124	1179
1330	224289	1011
1331	224453	842
1332	224619	674
1333	224787	505
1334	224964	337
1335	225136	168
1336	225301	0
